Date,Open*,High,Low,Close**,Volume,Market Cap
24-Nov-20,$0.15 ,$0.18 ,$0.15 ,$0.17 ,"$2,566,224,959 ","$5,174,709,739 "
23-Nov-20,$0.14 ,$0.16 ,$0.14 ,$0.15 ,"$2,203,606,418 ","$4,776,075,388 "
22-Nov-20,$0.13 ,$0.15 ,$0.12 ,$0.14 ,"$2,294,032,112 ","$4,503,848,489 "
21-Nov-20,$0.12 ,$0.13 ,$0.12 ,$0.13 ,"$1,385,060,442 ","$4,136,248,611 "
20-Nov-20,$0.11 ,$0.12 ,$0.11 ,$0.12 ,"$688,553,865 ","$3,678,295,392 "
19-Nov-20,$0.11 ,$0.11 ,$0.10 ,$0.11 ,"$590,674,105 ","$3,293,756,213 "
18-Nov-20,$0.11 ,$0.11 ,$0.10 ,$0.11 ,"$692,683,324 ","$3,310,449,577 "
17-Nov-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$622,568,575 ","$3,409,932,700 "
16-Nov-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$400,498,894 ","$3,235,940,749 "
15-Nov-20,$0.10 ,$0.11 ,$0.10 ,$0.10 ,"$358,303,858 ","$3,127,773,189 "
14-Nov-20,$0.11 ,$0.11 ,$0.10 ,$0.10 ,"$432,474,021 ","$3,241,970,358 "
13-Nov-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$477,838,893 ","$3,310,080,126 "
12-Nov-20,$0.11 ,$0.11 ,$0.10 ,$0.10 ,"$634,274,545 ","$3,252,034,178 "
11-Nov-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$631,585,357 ","$3,296,832,659 "
10-Nov-20,$0.11 ,$0.11 ,$0.10 ,$0.11 ,"$700,753,239 ","$3,291,865,465 "
09-Nov-20,$0.11 ,$0.11 ,$0.10 ,$0.11 ,"$802,272,882 ","$3,276,933,037 "
08-Nov-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$625,787,081 ","$3,317,245,143 "
07-Nov-20,$0.11 ,$0.11 ,$0.10 ,$0.10 ,"$861,840,304 ","$3,154,155,667 "
06-Nov-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$717,731,180 ","$3,394,525,417 "
05-Nov-20,$0.10 ,$0.10 ,$0.09 ,$0.10 ,"$554,496,502 ","$3,017,735,497 "
04-Nov-20,$0.09 ,$0.10 ,$0.09 ,$0.10 ,"$1,041,738,046 ","$2,967,168,445 "
03-Nov-20,$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$859,629,132 ","$2,906,977,496 "
02-Nov-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$817,756,720 ","$2,866,799,007 "
01-Nov-20,$0.09 ,$0.10 ,$0.09 ,$0.10 ,"$609,565,849 ","$3,055,149,297 "
31-Oct-20,$0.09 ,$0.10 ,$0.09 ,$0.09 ,"$662,592,019 ","$2,895,202,549 "
30-Oct-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$855,782,606 ","$2,904,936,834 "
29-Oct-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$883,054,980 ","$2,967,374,456 "
28-Oct-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$876,721,856 ","$3,079,412,144 "
27-Oct-20,$0.10 ,$0.11 ,$0.10 ,$0.10 ,"$913,522,302 ","$3,199,198,208 "
26-Oct-20,$0.11 ,$0.11 ,$0.10 ,$0.10 ,"$880,221,833 ","$3,207,604,424 "
25-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$722,743,351 ","$3,308,833,127 "
24-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$868,194,497 ","$3,362,485,522 "
23-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$1,110,973,427 ","$3,362,726,011 "
22-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$933,335,641 ","$3,440,161,416 "
21-Oct-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$779,410,099 ","$3,303,738,303 "
20-Oct-20,$0.11 ,$0.11 ,$0.10 ,$0.10 ,"$707,955,236 ","$3,188,834,001 "
19-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$490,775,170 ","$3,381,215,174 "
18-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$432,851,135 ","$3,341,113,201 "
17-Oct-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$472,005,227 ","$3,301,145,173 "
16-Oct-20,$0.11 ,$0.11 ,$0.10 ,$0.10 ,"$553,561,875 ","$3,237,674,829 "
15-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$562,197,282 ","$3,317,690,625 "
14-Oct-20,$0.11 ,$0.11 ,$0.11 ,$0.11 ,"$713,264,193 ","$3,338,272,776 "
